obs,saison,mois,jour_mois,jour_semaine,horaire,jour_travail,vacances,meteo,velos,humidite,vent,temperature1,temperature2
391,2,3,21,2,2,2,1,2,305,82.75,41.84,7.51,4.5
392,2,3,21,2,3,2,1,2,373,68.75,26.96,14.33,14.75
393,2,3,21,2,4,2,1,2,796,65,26.55,17.38,18
394,2,3,21,2,5,2,1,1,542,78.8,24.14,15.69,16.2
395,2,3,22,3,1,2,1,1,109,88.57,18.39,12.01,12.28
396,2,3,22,3,2,2,1,2,774,61.5,31.38,11.27,11.5
397,2,3,22,3,3,2,1,1,414,46.25,30.58,14.32,14.75
398,2,3,22,3,4,2,1,1,918,42.5,14.08,15.27,15.75
399,2,3,22,3,5,2,1,2,488,55.6,30.25,11.74,12
400,2,3,23,4,1,2,1,3,77,78.83,24.68,7.98,5.33
401,2,3,23,4,2,2,1,2,636,85.5,25.75,7.28,4.5
402,2,3,23,4,3,2,1,2,350,87,17.7,8.21,6.25
403,2,3,23,4,4,2,1,2,732,79,24.95,10.33,10.5
404,2,3,23,4,5,2,1,3,326,90.4,31.86,7.98,5.6
405,2,3,24,5,1,2,1,2,72,97,23.68,5.7,2.57
406,2,3,24,5,2,2,1,3,394,96.5,28.97,4.22,0
407,2,3,24,5,3,2,1,2,349,72.75,26.55,6.34,3
408,2,3,24,5,4,2,1,2,621,66.5,26.96,6.1,2.75
409,2,3,24,5,5,2,1,1,429,62.4,27.04,4.6,0.8
410,2,3,25,6,1,2,1,1,76,69.86,18.16,1.27,-2.29
411,2,3,25,6,2,2,1,1,575,51.5,25.35,2.81,-1.75
412,2,3,25,6,3,2,1,1,491,39.5,28.57,7.27,4.5
413,2,3,25,6,4,2,1,2,695,36.25,31.38,7.28,3.75
414,2,3,25,6,5,2,1,2,373,38,25.75,5.54,2.4
415,2,3,26,7,1,1,1,1,113,45.29,24.83,2.34,-2.14
416,2,3,26,7,2,1,1,1,332,44.25,16.9,2.81,-0.75
417,2,3,26,7,3,1,1,1,850,34,21.73,6.57,3.5
418,2,3,26,7,4,1,1,1,823,24.25,20.92,7.51,5.25
419,2,3,26,7,5,1,1,2,378,43.8,26.07,4.78,1.4
420,2,3,27,1,1,1,1,3,94,62.83,19.31,1.87,-1.83
421,2,3,27,1,2,1,1,1,161,66.25,20.12,1.4,-2.75
422,2,3,27,1,3,1,1,2,582,41.75,20.92,5.16,2.25
423,2,3,27,1,4,1,1,1,611,33.5,19.71,7.04,4.25
424,2,3,27,1,5,1,1,1,245,38.6,19.64,4.78,1.6
425,2,3,28,2,1,2,1,1,73,44,21.46,1.71,-2.17
426,2,3,28,2,2,2,1,1,554,32,26.15,2.1,-2.5
427,2,3,28,2,3,2,1,2,299,25.25,19.72,5.4,2.25
428,2,3,28,2,4,2,1,1,697,22.75,29.37,7.51,4.25
429,2,3,28,2,5,2,1,1,405,22.2,19.31,6.29,4
430,2,3,29,3,1,2,1,1,86,35.14,29.89,2.88,-1.86
431,2,3,29,3,2,2,1,1,651,32,37.82,4.22,-0.5
432,2,3,29,3,3,2,1,1,377,25,29.77,8.21,5
433,2,3,29,3,4,2,1,1,816,22,16.5,9.86,9.75
434,2,3,29,3,5,2,1,1,495,38.4,8.37,7.98,7.2
435,2,3,30,4,1,2,1,2,85,52,5.06,6.77,6
436,2,3,30,4,2,2,1,2,617,46.25,19.31,7.28,5
437,2,3,30,4,3,2,1,2,348,46,25.35,8.45,6
438,2,3,30,4,4,2,1,3,307,88.5,23.74,4.69,1.5
439,2,3,30,4,5,2,1,3,179,93,27.68,3.47,-1
440,2,3,31,5,1,2,1,3,60,93,24.83,3.28,-1.14
441,2,3,31,5,2,2,1,3,485,94.75,27.36,3.75,-0.5
442,2,3,31,5,3,2,1,3,292,90,17.7,5.63,3
443,2,3,31,5,4,2,1,2,495,87,25.34,6.1,3
444,2,3,31,5,5,2,1,3,353,93.2,21.57,5.16,2
445,2,4,1,6,1,2,1,3,64,95,22.76,3.68,-0.14
446,2,4,1,6,2,2,1,1,549,79,24.14,5.4,1.75
447,2,4,1,6,3,2,1,1,381,52.5,38.62,8.21,4.75
448,2,4,1,6,4,2,1,1,800,46,40.24,7.98,4
449,2,4,1,6,5,2,1,1,433,54.4,19.64,6.85,4.8
450,2,4,2,7,1,1,1,1,116,69.43,13.34,3.95,1.43
451,2,4,2,7,2,1,1,2,314,65.75,12.88,6.8,5.25
452,2,4,2,7,3,1,1,3,709,71.25,20.52,8.22,6.75
453,2,4,2,7,4,1,1,1,695,61.5,34.2,9.39,8.5
454,2,4,2,7,5,1,1,1,418,57.8,29.29,7.6,4.8
455,2,4,3,1,1,1,1,1,149,65.29,14.48,5.43,3.43
456,2,4,3,1,2,1,1,1,452,51.75,35,8.68,6.5
457,2,4,3,1,3,1,1,1,1272,35.75,26.15,12.68,13
458,2,4,3,1,4,1,1,2,1041,30.75,8.85,13.62,14
459,2,4,3,1,5,1,1,2,335,44.4,18.03,11.36,11.6
460,2,4,4,2,1,2,1,1,75,61.29,30.12,10.53,10.71
461,2,4,4,2,2,2,1,2,744,51.25,35,14.8,15.25
462,2,4,4,2,3,2,1,1,543,34.25,45.06,23.26,25.75
463,2,4,4,2,4,2,1,1,1084,22.75,58.74,27.02,27
464,2,4,4,2,5,2,1,2,669,32.2,46.35,24.15,25.8
465,2,4,5,3,1,2,1,3,91,74.71,35.41,17.25,18.71
466,2,4,5,3,2,2,1,3,365,85.75,48.28,10.33,8.5
467,2,4,5,3,3,2,1,2,189,68,47.07,8.21,4.5
468,2,4,5,3,4,2,1,1,738,42.5,48.28,10.56,10.75
469,2,4,5,3,5,2,1,1,412,46.6,36.37,7.6,4.2
470,2,4,6,4,1,2,1,1,96,63.43,13.1,3.95,1.57
471,2,4,6,4,2,2,1,1,692,52.25,26.15,7.74,5.75
472,2,4,6,4,3,2,1,1,454,37.75,41.84,13.38,13.75
473,2,4,6,4,4,2,1,1,967,30.25,41.84,16.68,17.25
474,2,4,6,4,5,2,1,1,599,41,29.93,14,14.4
475,2,4,7,5,1,2,1,1,114,63,19.77,9.86,8.57
476,2,4,7,5,2,2,1,2,739,71.25,16.09,9.86,9
477,2,4,7,5,3,2,1,2,567,50.25,4.83,15.5,16
478,2,4,7,5,4,2,1,1,1049,45,17.3,17.85,20.5
479,2,4,7,5,5,2,1,1,672,68,25.75,11.93,12.2
480,2,4,8,6,1,2,1,2,93,80.57,15.63,7.98,6.28
481,2,4,8,6,2,2,1,3,592,80.25,21.73,8.45,6.25
482,2,4,8,6,3,2,1,3,235,72.75,30.18,9.39,8
483,2,4,8,6,4,2,1,3,295,91.5,26.55,7.28,4.25
484,2,4,8,6,5,2,1,2,256,93,32.83,6.1,2.4
485,2,4,9,7,1,1,1,2,103,92.43,23.22,6.23,3.14
486,2,4,9,7,2,1,1,2,306,90,15.29,7.28,5.25
487,2,4,9,7,3,1,1,2,778,81,7.24,8.92,7.75
488,2,4,9,7,4,1,1,2,826,83.25,5.23,9.62,9.75
489,2,4,9,7,5,1,1,2,442,88.4,14.16,9.48,8.8
490,2,4,10,1,1,1,1,2,155,89.57,11.27,9.46,9.14
491,2,4,10,1,2,1,1,2,296,93.75,8.45,9.86,9.75
492,2,4,10,1,3,1,1,2,976,82.25,15.29,12.91,13.25
493,2,4,10,1,4,1,1,2,1061,74.5,20.92,15.97,16.5
494,2,4,10,1,5,1,1,1,407,85.8,24.46,13.62,14
495,2,4,11,2,1,2,1,1,111,94,27.09,13.78,14.16
496,2,4,11,2,2,2,1,2,751,85.5,29.37,17.15,17.75
497,2,4,11,2,3,2,1,2,522,67.25,37.82,22.08,24.5
498,2,4,11,2,4,2,1,1,1211,48.75,52.71,26.55,28
499,2,4,11,2,5,2,1,1,753,55.8,32.51,22.83,24.8
500,2,4,12,3,1,2,1,2,132,58.43,15.63,19.26,21.43
501,2,4,12,3,2,2,1,3,509,83,41.04,15.27,15.75
502,2,4,12,3,3,2,1,2,291,72.75,37.42,16.91,17.5
503,2,4,12,3,4,2,1,2,692,77,36.62,13.62,14
504,2,4,12,3,5,2,1,2,410,86.8,28.32,11.36,11.6
505,2,4,13,4,1,2,1,3,62,96.57,31.27,10.53,10.71
506,2,4,13,4,2,2,1,3,345,93.75,22.53,9.86,9.5
507,2,4,13,4,3,2,1,2,323,79.5,24.14,11.97,12.25
508,2,4,13,4,4,2,1,1,853,67,33.8,13.15,13.5
509,2,4,13,4,5,2,1,1,579,65.8,21.56,11.93,12.2
510,2,4,14,5,1,2,1,1,129,76.71,12.64,8.65,7.86
511,2,4,14,5,2,2,1,1,789,56.5,13.28,12.68,13
512,2,4,14,5,3,2,1,1,556,39.75,16.5,17.62,18.25
513,2,4,14,5,4,2,1,1,1069,28.75,5.23,19.73,23
514,2,4,14,5,5,2,1,1,724,52,11.59,14.94,15.4
515,2,4,15,6,1,1,2,1,126,75,4.37,10.67,10.57
516,2,4,15,6,2,1,2,1,749,60.75,22.93,13.62,14
517,2,4,15,6,3,1,2,1,679,53.5,26.55,16.91,17.5
518,2,4,15,6,4,1,2,1,999,59.25,46.27,15.74,16.25
519,2,4,15,6,5,1,2,2,573,78.4,34.44,10.42,10.2
520,2,4,16,7,1,1,1,2,133,85.43,25.29,9.32,7.86
521,2,4,16,7,2,1,1,3,117,90.75,39.43,11.04,11.25
522,2,4,16,7,3,1,1,3,184,89.75,57.54,13.86,14.25
523,2,4,16,7,4,1,1,3,164,88.25,54.32,15.73,16.25
524,2,4,16,7,5,1,1,2,197,91.8,19.96,13.24,13.6
525,2,4,17,1,1,1,1,1,136,69.29,23.91,10.4,9.57
526,2,4,17,1,2,1,1,1,372,45.75,39.83,10.33,9.75
527,2,4,17,1,3,1,1,1,1362,36.75,42.65,14.8,15.25
528,2,4,17,1,4,1,1,1,1314,30.5,46.27,17.85,18.5
529,2,4,17,1,5,1,1,1,560,42.8,20.6,15.69,16.2
530,2,4,18,2,1,2,1,1,157,66.86,10.58,11.87,12.14
531,2,4,18,2,2,2,1,1,743,59,5.63,14.8,15.25
532,2,4,18,2,3,2,1,2,620,49.75,14.49,18.32,19
533,2,4,18,2,4,2,1,1,1171,42.25,30.18,20.43,23.75
534,2,4,18,2,5,2,1,1,738,46,29.61,17.76,19.2
535,2,4,19,3,1,2,1,1,136,64.86,19.08,14.16,14.57
536,2,4,19,3,2,2,1,2,776,64.5,12.07,15.97,16.5
537,2,4,19,3,3,2,1,2,411,66,18.11,17.38,18
538,2,4,19,3,4,2,1,1,1151,60.25,18.91,17.85,18.5
539,2,4,19,3,5,2,1,2,730,76.2,15.77,14.94,15.4
540,2,4,20,4,1,2,1,1,132,94,14.25,11.61,11.86
541,2,4,20,4,2,2,1,1,961,73.25,22.53,19.5,21.5
542,2,4,20,4,3,2,1,1,588,51.25,35.81,24.43,26.25
543,2,4,20,4,4,2,1,2,1273,34.25,40.23,27.25,27.5
544,2,4,20,4,5,2,1,1,990,36.2,26.39,22.64,25.2
545,2,4,21,5,1,2,1,2,185,49.57,46.44,14.16,14.57
546,2,4,21,5,2,2,1,2,857,47,43.05,11.5,11.75
547,2,4,21,5,3,2,1,1,737,36.5,31.39,14.09,14.5
548,2,4,21,5,4,2,1,1,1462,27.5,32.99,15.97,16.5
549,2,4,21,5,5,2,1,1,948,37.2,17.38,12.12,12.4
550,2,4,22,6,1,2,1,1,136,54.29,28.28,8.52,5.71
551,2,4,22,6,2,2,1,2,857,57.25,27.76,8.21,5.25
552,2,4,22,6,3,2,1,3,262,79,20.92,7.98,5.75
553,2,4,22,6,4,2,1,3,257,90,20.92,7.51,5
554,2,4,22,6,5,2,1,3,171,93.2,18.35,6.66,4.4
555,2,4,23,7,1,1,1,3,78,100,11.95,7.44,6.28
556,2,4,23,7,2,1,1,2,263,95.5,25.35,9.62,8.5
557,2,4,23,7,3,1,1,1,1226,83,37.42,16.44,17
558,2,4,23,7,4,1,1,1,1582,74.25,32.19,19.96,22.25
559,2,4,23,7,5,1,1,2,887,84,26.71,18.13,18.8
560,2,4,24,1,1,1,1,1,276,91.57,13.57,15.63,16.14
561,2,4,24,1,2,1,1,1,573,90,17.3,17.62,18.5
562,2,4,24,1,3,1,1,1,1566,60.5,26.96,24.2,26.25
563,2,4,24,1,4,1,1,1,1329,60.75,29.77,23.73,25.5
564,2,4,24,1,5,1,1,3,447,92,21.25,18.51,19.2
565,2,4,25,2,1,2,1,2,130,100,4.37,16.04,16.57
566,2,4,25,2,2,2,1,1,848,86,14.89,19.26,20.25
567,2,4,25,2,3,2,1,1,684,66.5,24.95,23.96,26
568,2,4,25,2,4,2,1,1,1434,54,33.39,25.13,27
569,2,4,25,2,5,2,1,1,977,67.6,31.22,21.33,23.4
570,2,4,26,3,1,2,1,1,197,81.71,29.43,18.86,20
571,2,4,26,3,2,2,1,1,1038,77,35.4,20.91,22.25
572,2,4,26,3,3,2,1,1,689,58.75,42.65,25.37,27.25
573,2,4,26,3,4,2,1,1,1493,61.25,41.84,24.43,26.5
574,2,4,26,3,5,2,1,1,983,78,31.86,21.14,22.6
575,2,4,27,4,1,2,1,1,163,89.14,26.9,19.13,19.86
576,2,4,27,4,2,2,1,2,963,86.75,35.41,19.96,20.5
577,2,4,27,4,3,2,1,1,627,77,32.19,22.79,24
578,2,4,27,4,4,2,1,1,1289,75.25,44.66,23.96,25.5
579,2,4,27,4,5,2,1,1,830,85,34.12,21.33,21.6
580,2,4,28,5,1,2,1,2,206,80.86,43.91,21.54,22.43
581,2,4,28,5,2,2,1,2,850,83,40.64,21.85,22.25
582,2,4,28,5,3,2,1,2,454,81.75,30.58,21.14,22.25
583,2,4,28,5,4,2,1,1,1418,60.25,35,22.08,24.5
584,2,4,28,5,5,2,1,1,1130,43.2,19.64,18.7,20
585,2,4,29,6,1,2,1,1,196,49.86,17.24,14.56,15
586,2,4,29,6,2,2,1,1,1047,40,29.77,17.38,18
587,2,4,29,6,3,2,1,1,936,36.75,30.58,19.26,22
588,2,4,29,6,4,2,1,2,1498,43.75,37.82,17.14,17.75
589,2,4,29,6,5,2,1,1,918,53.2,21.57,13.24,13.6
590,2,4,30,7,1,1,1,2,297,54.57,26.67,12.01,12.28
591,2,4,30,7,2,1,1,1,574,50.75,38.63,12.21,12.5
592,2,4,30,7,3,1,1,1,1644,40.5,34.2,16.68,17.25
593,2,4,30,7,4,1,1,1,1741,40,16.09,18.32,19
594,2,4,30,7,5,1,1,1,1056,60.2,13.2,13.62,14
595,2,5,1,1,1,1,1,1,268,76.43,10.58,11.2,11.43
596,2,5,1,1,2,1,1,2,497,72.25,14.89,13.15,13.5
597,2,5,1,1,3,1,1,2,1101,72.5,12.88,14.8,15.25
598,2,5,1,1,4,1,1,2,835,77,14.48,14.8,15.25
599,2,5,1,1,5,1,1,2,650,81.4,6.44,13.62,14
600,2,5,2,2,1,2,1,1,441,77.14,15.86,12.95,13.29
601,2,5,2,2,2,2,1,2,860,78.25,28.57,15.27,15.75
602,2,5,2,2,3,2,1,1,668,70,25.35,20.91,23
603,2,5,2,2,4,2,1,1,1479,63,21.72,22.78,24.75
604,2,5,2,2,5,2,1,2,953,73.4,12.23,20.2,22.6
605,2,5,3,3,1,2,1,2,164,84.57,23.68,17.38,18
606,2,5,3,3,2,2,1,2,1037,79.5,32.99,19.5,20.75
607,2,5,3,3,3,2,1,2,709,60.5,52.71,24.2,26.25
608,2,5,3,3,4,2,1,1,1486,53.5,48.28,25.13,27.25
609,2,5,3,3,5,2,1,2,1055,61.4,37.02,21.33,23
610,2,5,4,4,1,2,1,3,72,86.14,35.41,12.28,11.57
611,2,5,4,4,2,2,1,3,202,93,37.42,7.98,4.25
612,2,5,4,4,3,2,1,2,446,63.5,41.04,13.15,13.5
613,2,5,4,4,4,2,1,1,1130,58.5,37.42,13.15,13.5
614,2,5,4,4,5,2,1,1,783,61.2,28,10.42,10.2
615,2,5,5,5,1,2,1,1,172,66.71,25.06,8.11,5.43
616,2,5,5,5,2,2,1,1,1023,47.75,28.97,12.68,13
617,2,5,5,5,3,2,1,1,690,32,49.49,16.91,17.5
618,2,5,5,5,4,2,1,1,1469,25.5,42.65,18.56,19.25
619,2,5,5,5,5,2,1,1,1079,35.6,20.92,15.31,15.8
620,2,5,6,6,1,2,1,1,212,67.43,12.88,9.73,9.28
621,2,5,6,6,2,2,1,1,987,68.75,23.34,13.38,13.75
622,2,5,6,6,3,2,1,1,877,44.5,39.43,18.79,20.5
623,2,5,6,6,4,2,1,1,1627,42.5,36.61,19.26,22
624,2,5,6,6,5,2,1,1,905,64.2,20.6,14.94,15.4
625,2,5,7,7,1,1,1,1,239,77.29,11.5,11.87,12.14
626,2,5,7,7,2,1,1,1,671,52.25,20.92,16.68,17.25
627,2,5,7,7,3,1,1,1,1534,38.25,17.3,19.73,23.5
628,2,5,7,7,4,1,1,1,1363,38.25,22.53,19.73,22.5
629,2,5,7,7,5,1,1,1,907,48.6,18.35,17.38,18
630,2,5,8,1,1,1,1,2,275,70,2.99,13.89,14.28
631,2,5,8,1,2,1,1,1,513,61.5,13.28,16.91,17.5
632,2,5,8,1,3,1,1,1,1478,48.25,8.45,19.96,23.75
633,2,5,8,1,4,1,1,1,1362,48.25,10.46,19.73,22.5
634,2,5,8,1,5,1,1,1,705,78.8,8.69,16.06,16.6
635,2,5,9,2,1,2,1,1,217,82.43,11.73,12.68,13
636,2,5,9,2,2,2,1,1,908,56.5,22.53,16.68,17.25
637,2,5,9,2,3,2,1,1,656,42,24.95,20.67,25
638,2,5,9,2,4,2,1,1,1625,38.75,26.96,21.38,25
639,2,5,9,2,5,2,1,1,956,57.4,15.13,17,17.6
640,2,5,10,3,1,2,1,1,185,61.29,15.86,12.55,12.86
641,2,5,10,3,2,2,1,2,1071,49.5,11.67,15.74,16.25
642,2,5,10,3,3,2,1,2,720,38,10.46,20.2,23.5
643,2,5,10,3,4,2,1,1,1668,31.5,8.85,22.32,25
644,2,5,10,3,5,2,1,1,1159,53.8,12.87,17.57,19
645,2,5,11,4,1,2,1,1,192,70.57,13.33,15.1,15.57
646,2,5,11,4,2,2,1,1,1117,72.25,18.1,15.74,16.25
647,2,5,11,4,3,2,1,1,737,55.75,4.83,20.2,23.5
648,2,5,11,4,4,2,1,1,1001,44.25,10.86,22.08,25
649,2,5,11,4,5,2,1,1,1135,67.2,16.73,16.44,17
650,2,5,12,5,1,2,1,1,228,90.57,14.02,12.68,13
651,2,5,12,5,2,2,1,1,1077,78.75,22.53,15.27,15.75
652,2,5,12,5,3,2,1,1,795,59.5,26.15,20.2,22.25
653,2,5,12,5,4,2,1,2,1626,59,24.94,21.85,24.75
654,2,5,12,5,5,2,1,1,1138,74.2,19.63,18.7,20.6
655,2,5,13,6,1,2,1,2,199,86.57,16.78,15.77,16.28
656,2,5,13,6,2,2,1,2,907,86.75,18.51,15.73,16.25
657,2,5,13,6,3,2,1,2,785,86.5,27.76,16.44,17
658,2,5,13,6,4,2,1,2,1387,88,16.9,16.44,17
659,2,5,13,6,5,2,1,2,827,84.2,18.99,16.25,16.8
660,2,5,14,7,1,1,1,2,301,86.29,14.02,15.5,16
661,2,5,14,7,2,1,1,3,387,95.5,6.84,15.73,16.25
662,2,5,14,7,3,1,1,3,1022,97,12.07,16.68,17.25
663,2,5,14,7,4,1,1,2,1165,91,20.92,17.85,18.5
664,2,5,14,7,5,1,1,3,534,95.2,18.35,17.19,17.8
665,2,5,15,1,1,1,1,2,212,100,7.36,16.44,17
666,2,5,15,1,2,1,1,2,472,90,20.11,18.09,18.75
667,2,5,15,1,3,1,1,1,1582,74.25,26.96,21.14,23
668,2,5,15,1,4,1,1,1,1528,73.5,30.17,20.44,21.75
669,2,5,15,1,5,1,1,1,759,86,7.08,17.76,18.4
670,2,5,16,2,1,2,1,1,200,94.71,15.17,15.9,16.43
671,2,5,16,2,2,2,1,1,972,72.5,23.34,19.03,20.75
672,2,5,16,2,3,2,1,1,801,53.25,2.42,23.26,25.5
673,2,5,16,2,4,2,1,1,1118,75,18.1,21.14,22.5
674,2,5,16,2,5,2,1,1,867,85,9.34,18.88,19.6
675,2,5,17,3,1,2,1,3,131,91.43,15.63,17.51,18.14
676,2,5,17,3,2,2,1,2,809,91,28.56,16.91,17.5
677,2,5,17,3,3,2,1,2,639,81.75,43.86,19.03,20
678,2,5,17,3,4,2,1,1,1584,66,40.24,20.91,23.75
679,2,5,17,3,5,2,1,1,960,83.2,31.54,18.32,19.4
680,2,5,18,4,1,2,1,3,163,94,25.52,16.71,17.29
681,2,5,18,4,2,2,1,1,1035,86.75,27.36,17.85,18.5
682,2,5,18,4,3,2,1,2,337,87.25,26.96,18.32,19
683,2,5,18,4,4,2,1,1,1515,73.25,21.72,20.2,22.75
684,2,5,18,4,5,2,1,1,805,88.2,7.72,17.19,17.8
685,2,5,19,5,1,2,1,1,188,94.86,1.61,15.23,15.71
686,2,5,19,5,2,2,1,2,1090,89.75,2.42,16.68,17.25
687,2,5,19,5,3,2,1,3,695,75.75,19.31,18.32,19
688,2,5,19,5,4,2,1,1,1550,68.75,18.51,19.03,20.75
689,2,5,19,5,5,2,1,1,1052,78,21.57,16.82,17.4
690,2,5,20,6,1,2,1,1,236,95.71,7.36,13.08,13.43
691,2,5,20,6,2,2,1,1,1218,69.25,15.69,17.15,17.75
692,2,5,20,6,3,2,1,2,880,56.25,25.75,20.2,23.75
693,2,5,20,6,4,2,1,2,1599,54.5,14.08,20.43,25
694,2,5,20,6,5,2,1,1,984,67.4,9.98,18.13,18.8
695,2,5,21,7,1,1,1,1,269,80.14,10.58,15.23,15.71
696,2,5,21,7,2,1,1,1,717,66.5,20.12,19.26,21.25
697,2,5,21,7,3,1,1,1,1829,47.5,3.62,23.96,25.75
698,2,5,21,7,4,1,1,2,1865,42.75,22.53,25.6,26.75
699,2,5,21,7,5,1,1,1,1125,63.2,10.62,21.14,23.4
700,2,5,22,1,1,1,1,1,366,95.71,11.04,16.17,16.71
701,2,5,22,1,2,1,1,1,628,73.75,11.67,20.2,22.25
702,2,5,22,1,3,1,1,2,1545,57,21.72,23.72,26
703,2,5,22,1,4,1,1,1,1268,60.25,20.92,23.73,25.75
704,2,5,22,1,5,1,1,1,853,73,17.7,21.14,22.6
705,2,5,23,2,1,2,1,2,170,92.29,8.74,17.78,18.43
706,2,5,23,2,2,2,1,1,933,86,22.13,20.44,21
707,2,5,23,2,3,2,1,1,775,64.5,46.27,25.13,27.5
708,2,5,23,2,4,2,1,2,1337,67,38.22,25.6,28.75
709,2,5,23,2,5,2,1,1,1059,85.6,23.5,22.27,22.6
710,2,5,24,3,1,2,1,2,202,93.14,18.62,19.8,19.15
711,2,5,24,3,2,2,1,3,994,73.75,25.35,22.55,24
712,2,5,24,3,3,2,1,1,688,47,30.98,27.95,29.25
713,2,5,24,3,4,2,1,1,1577,63.75,24.54,24.9,27
714,2,5,24,3,5,2,1,1,1031,77.6,16.42,22.46,23.8
715,2,5,25,4,1,2,1,1,205,91.71,12.88,18.45,19.14
716,2,5,25,4,2,2,1,1,1213,67,14.49,23.02,25
717,2,5,25,4,3,2,1,1,720,54,14.08,26.78,28.75
718,2,5,25,4,4,2,1,1,1599,53,26.55,26.78,28.5
719,2,5,25,4,5,2,1,1,1241,66.6,17.7,23.58,25.6
720,2,5,26,5,1,2,1,1,206,84.71,9.89,20.87,21
721,2,5,26,5,2,2,1,2,1134,80.25,23.34,23.73,25.25
722,2,5,26,5,3,2,1,1,740,57.25,30.18,29.13,33.25
723,2,5,26,5,4,2,1,2,1404,46.75,33.8,29.84,32.75
724,2,5,26,5,5,2,1,1,1193,59.2,19.64,26.03,28.2
725,2,5,27,6,1,2,1,1,268,65.14,21.15,23.15,25.14
726,2,5,27,6,2,2,1,1,1047,66.5,30.18,23.96,26
727,2,5,27,6,3,2,1,2,857,55.75,28.97,27.25,29.5
728,2,5,27,6,4,2,1,1,1665,56,36.62,27.25,29.75
729,2,5,27,6,5,2,1,1,842,80,18.35,20.2,21.6
730,2,5,28,7,1,1,1,1,242,88.14,22.76,18.72,19.43
731,2,5,28,7,2,1,1,1,605,74.75,24.94,22.08,23.75
732,2,5,28,7,3,1,1,1,1474,60.75,24.95,25.84,28.25
733,2,5,28,7,4,1,1,1,1502,56.75,28.57,26.78,29.25
734,2,5,28,7,5,1,1,1,935,73,24.46,23.58,25
735,2,5,29,1,1,1,1,1,280,88.14,16.1,21.01,20.57
736,2,5,29,1,2,1,1,2,529,88.25,25.75,21.61,21.5
737,2,5,29,1,3,1,1,2,1490,74.25,28.97,25.13,27.75
738,2,5,29,1,4,1,1,1,1448,71,30.98,26.55,30
739,2,5,29,1,5,1,1,1,1041,82.8,19.63,24.15,26
740,2,5,30,2,1,1,2,1,274,94,16.55,21.81,20.71
741,2,5,30,2,2,1,2,2,522,78,12.07,25.13,27
742,2,5,30,2,3,1,2,1,1364,45.5,5.23,32.19,36.25
743,2,5,30,2,4,1,2,1,1173,39.5,24.95,32.89,36.25
744,2,5,30,2,5,1,2,1,765,66.8,10.94,24.34,27.2
745,2,5,31,3,1,2,1,1,200,85.86,8.97,23.42,24.57
746,2,5,31,3,2,2,1,1,925,59,13.68,28.9,33.25
747,2,5,31,3,3,2,1,1,555,42.5,8.05,33.36,37.75
748,2,5,31,3,4,2,1,1,1336,45.5,19.31,32.89,37.75
749,2,5,31,3,5,2,1,1,966,67.8,12.23,27.53,31.6
750,2,6,1,4,1,2,1,1,213,85.43,18.16,24.23,26.43
751,2,6,1,4,2,2,1,2,1060,76.75,22.53,26.31,30.5
752,2,6,1,4,3,2,1,1,580,46.5,18.1,32.89,38
753,2,6,1,4,4,2,1,1,1213,47.25,34.6,32.42,37.25
754,2,6,1,4,5,2,1,1,908,69,21.57,26.78,30
755,2,6,2,5,1,2,1,1,214,40,17.24,24.23,25.71
756,2,6,2,5,2,2,1,1,1135,30,37.82,25.37,26.25
757,2,6,2,5,3,2,1,1,785,25.25,41.44,28.19,28
758,2,6,2,5,4,2,1,1,1603,21.25,48.28,28.42,28
759,2,6,2,5,5,2,1,1,1231,29.2,25.1,23.4,25.4
760,2,6,3,6,1,2,1,1,247,44.14,31.96,18.19,19.86
761,2,6,3,6,2,2,1,1,1170,40.25,26.96,19.02,20.5
762,2,6,3,6,3,2,1,1,939,28,30.98,23.49,25.25
763,2,6,3,6,4,2,1,1,1683,25.75,32.19,25.37,26
764,2,6,3,6,5,2,1,1,1273,33,14.16,21.7,24
765,2,6,4,7,1,1,1,1,315,59.14,7.59,16.98,17.57
766,2,6,4,7,2,1,1,1,753,45.75,8.85,20.44,23.5
767,2,6,4,7,3,1,1,1,1696,32.25,17.7,25.37,26.25
768,2,6,4,7,4,1,1,2,1529,30.25,26.15,26.31,27
769,2,6,4,7,5,1,1,2,1049,49.6,10.95,23.4,25.6
770,2,6,5,1,1,1,1,2,359,61.57,15.18,21.54,24.43
771,2,6,5,1,2,1,1,2,540,74.25,21.32,20.43,22.75
772,2,6,5,1,3,1,1,2,1422,65.25,12.88,23.02,25
773,2,6,5,1,4,1,1,1,1568,53.5,5.23,25.6,27.5
774,2,6,5,1,5,1,1,1,1017,72.6,18.99,22.46,24.2
775,2,6,6,2,1,2,1,1,207,86.71,8.74,19.39,20.29
776,2,6,6,2,2,2,1,1,1020,65,15.69,23.49,25.5
777,2,6,6,2,3,2,1,1,589,36.25,11.67,27.95,28.5
778,2,6,6,2,4,2,1,1,1567,31.5,20.11,28.42,28.75
779,2,6,6,2,5,2,1,1,1165,60.4,12.88,23.58,25.6
780,2,6,7,3,1,2,1,1,194,75.57,12.88,20.33,22.29
781,2,6,7,3,2,2,1,2,1151,59,20.11,24.9,26.75
782,2,6,7,3,3,2,1,2,676,46,28.97,29.13,31.5
783,2,6,7,3,4,2,1,1,1581,42,29.37,29.6,31.5
784,2,6,7,3,5,2,1,1,1231,63.6,16.41,25.84,28
